BnaA05g26890D	GSBRNA2T00000220001
BnaA05g26900D	GSBRNA2T00000221001
BnaA05g26910D	GSBRNA2T00000222001
BnaA05g26920D	GSBRNA2T00000223001
BnaA05g26930D	GSBRNA2T00000224001
BnaA05g26940D	GSBRNA2T00000225001
BnaA05g26950D	GSBRNA2T00000226001
BnaA05g26960D	GSBRNA2T00000227001
BnaA05g26970D	GSBRNA2T00000228001
BnaA05g26980D	GSBRNA2T00000229001
BnaA05g26990D	GSBRNA2T00000230001
BnaA05g27000D	GSBRNA2T00000231001
BnaA05g27010D	GSBRNA2T00000232001
BnaA05g27020D	GSBRNA2T00000233001
BnaA05g27030D	GSBRNA2T00000234001
BnaA05g27040D	GSBRNA2T00000235001
BnaA05g27050D	GSBRNA2T00000236001
BnaA05g27060D	GSBRNA2T00000237001
BnaA05g27070D	GSBRNA2T00000238001
BnaA05g27080D	GSBRNA2T00000240001
BnaA05g27090D	GSBRNA2T00000241001
BnaA05g27100D	GSBRNA2T00000242001
BnaA05g27110D	GSBRNA2T00000243001
BnaA05g27120D	GSBRNA2T00000244001
BnaA05g27130D	GSBRNA2T00000245001
BnaA05g27140D	GSBRNA2T00000246001
BnaA05g27150D	GSBRNA2T00000247001
BnaA05g27160D	GSBRNA2T00000248001
BnaA05g27170D	GSBRNA2T00000249001
BnaA05g27180D	GSBRNA2T00000250001
BnaA05g27190D	GSBRNA2T00000251001
BnaA05g27200D	GSBRNA2T00000252001
BnaA05g27210D	GSBRNA2T00000253001
BnaA05g27220D	GSBRNA2T00000256001
BnaA05g27230D	GSBRNA2T00000257001
BnaA05g27240D	GSBRNA2T00000258001
BnaA05g27250D	GSBRNA2T00000259001
BnaA05g27260D	GSBRNA2T00000261001
BnaA05g27270D	GSBRNA2T00000262001
BnaA05g27280D	GSBRNA2T00000263001
BnaA05g27290D	GSBRNA2T00000265001
BnaA05g27300D	GSBRNA2T00000267001
BnaA05g27310D	GSBRNA2T00000268001
BnaA05g27320D	GSBRNA2T00000269001
BnaA05g27330D	GSBRNA2T00000270001
BnaA05g27340D	GSBRNA2T00000271001
BnaA05g27350D	GSBRNA2T00000272001
BnaA05g27360D	GSBRNA2T00000273001
BnaA05g27370D	GSBRNA2T00000274001
BnaA05g27380D	GSBRNA2T00000275001
BnaA05g27390D	GSBRNA2T00000276001
BnaA05g27400D	GSBRNA2T00000278001
BnaA05g27410D	GSBRNA2T00000279001
BnaA05g27420D	GSBRNA2T00000280001
BnaA05g27430D	GSBRNA2T00000281001
BnaA05g27440D	GSBRNA2T00000282001
BnaA05g27450D	GSBRNA2T00000283001
BnaA05g27460D	GSBRNA2T00000284001
BnaA05g27470D	GSBRNA2T00000285001
BnaA05g27480D	GSBRNA2T00000286001
BnaA05g27490D	GSBRNA2T00000288001
BnaA05g27500D	GSBRNA2T00000289001
BnaA05g27510D	GSBRNA2T00000290001
BnaA05g27520D	GSBRNA2T00000291001
BnaA05g27530D	GSBRNA2T00000292001
BnaA05g27540D	GSBRNA2T00000293001
BnaA05g27550D	GSBRNA2T00000295001
BnaA05g27560D	GSBRNA2T00000296001
BnaA05g27570D	GSBRNA2T00000297001
BnaA05g27580D	GSBRNA2T00000299001
BnaA05g27590D	GSBRNA2T00000300001
